BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
3291,Bad Ragaz,5.9,5.9,5.9,5.6,5.5,5.3,5.3,5.2,5.2,5.2,4.9,4.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3292,Flums,5.,5.,5.3,5.1,4.8,4.6,4.6,4.4,4.3,4.3,4.2,4.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3293,Mels,4.9,4.7,4.8,4.6,4.5,4.4,4.2,4.1,4.,3.7,3.6,3.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3294,Pfäfers,4.9,4.6,5.2,5.2,5.,5.,4.9,4.9,4.8,4.4,4.2,3.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3295,Quarten,5.3,5.5,5.5,5.8,5.4,5.,5.,5.,5.3,5.4,5.5,4.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3296,Sargans,5.,5.,5.,4.8,4.8,4.7,4.6,4.5,4.3,4.3,4.5,4.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3297,Vilters-Wangs,4.3,4.1,4.,3.6,3.4,3.4,3.2,3.,2.9,2.8,2.6,2.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3298,Walenstadt,5.3,5.3,5.2,5.2,5.1,5.2,5.1,4.8,4.6,4.6,4.4,4.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3311,Amden,6.8,6.7,6.5,6.9,6.9,7.,6.9,6.9,6.4,6.4,5.9,5.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3312,Benken (SG),3.9,3.8,4.,3.7,3.4,3.4,3.2,3.3,3.,2.9,2.9,3.1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
