BFS_NR,GEBIET_NAME,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
3252,Eichberg,30.3,29.6,28.8,26.6,26.2,25.8,25.2,25.,23.,21.,20.4,19.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3253,Marbach (SG),33.1,31.6,29.3,27.6,25.5,25.9,26.4,25.5,24.6,23.4,22.8,22.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3254,Oberriet (SG),26.3,24.7,23.7,22.4,20.9,20.,18.8,17.9,16.9,16.2,15.5,14.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3255,Rebstein,45.4,42.7,41.1,39.7,38.9,37.7,36.4,35.6,34.4,33.3,32.3,31.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3256,Rüthi (SG),34.6,33.8,32.8,32.,30.9,29.5,27.7,25.3,24.3,22.7,21.3,19.9,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3271,Buchs (SG),50.3,48.9,47.5,46.,44.7,43.3,41.6,40.5,39.5,38.1,37.2,35.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3272,Gams,33.8,31.4,29.3,27.6,26.4,25.6,23.9,22.4,21.5,20.1,19.1,17.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3273,Grabs,33.6,32.3,31.3,29.6,28.1,27.2,26.2,24.6,24.,22.8,21.8,21.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3274,Sennwald,43.8,41.7,39.6,38.4,37.4,36.3,35.,33.8,32.4,31.5,30.1,29.2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3275,Sevelen,50.3,48.7,47.2,46.4,45.,44.2,42.8,41.3,39.6,39.5,38.3,37.3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3276,Wartau,38.5,37.,35.6,34.8,33.8,33.,32.3,31.2,30.5,29.3,28.5,27.5,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3291,Bad Ragaz,39.1,36.9,34.3,32.6,31.6,30.2,28.8,28.,26.7,26.2,25.3,24.6,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3292,Flums,33.7,31.4,30.3,29.5,29.2,28.5,27.4,26.7,26.6,26.1,25.5,25.4,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3293,Mels,27.6,26.,24.1,22.9,21.9,20.7,19.9,19.2,18.3,17.9,17.4,16.7,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
3294,Pfäfers,23.3,21.2,19.8,18.8,17.8,16.7,15.,14.8,14.5,13.2,12.2,11.8,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
